Corpus 1,Corpus 2,value
008Maverick,008Maverick,0.0
NatiFrid,AriBargar,0.06799975586438632
NatiFrid,Ah56015457,0.07049175805252691
AriBargar,Ah56015457,0.08490346774004949
wtf25986999,Ah56015457,0.13473263166197516
wtf25986999,NatiFrid,0.14262884615625893
wtf25986999,slinkysown68849,0.14587076571894678
Nobleinopal,NatiFrid,0.1473779811611055
slinkysown68849,Ah56015457,0.14800299076660448
slinkysown68849,NatiFrid,0.15648375084950542
wtf25986999,AriBargar,0.15933190066559946
Nobleinopal,AriBargar,0.16405551317677403
Nobleinopal,Ah56015457,0.1643203334604929
NatiFrid,Meir1973782,0.16477152443795687
slinkysown68849,AriBargar,0.1707532007464364
wtf25986999,Nobleinopal,0.17746499893409878
Meir1973782,Ah56015457,0.17943910278137223
Meir1973782,AriBargar,0.18090181989296578
slinkysown68849,Nobleinopal,0.18205205415383116
wtf25986999,Meir1973782,0.18797067923900657
NatiFrid,BendavidDudi,0.19177636223073766
slinkysown68849,Meir1973782,0.19263782477938582
Nobleinopal,Meir1973782,0.19951237183262022
edihoo2,NatiFrid,0.2060151035856764
BendavidDudi,AriBargar,0.20849900639241967
BendavidDudi,Ah56015457,0.20882787370309716
NatiFrid,AmnonShulman,0.20993315899154244
Nobleinopal,BendavidDudi,0.21301460407885583
AmnonShulman,Ah56015457,0.2154367793822997
wtf25986999,BendavidDudi,0.2173679651546196
Nobleinopal,AmnonShulman,0.21961244603517102
slinkysown68849,BendavidDudi,0.21972130582009244
AriBargar,AmnonShulman,0.22191148889617238
edihoo2,AriBargar,0.2227896511982782
edihoo2,Ah56015457,0.2230666150580359
wtf25986999,AmnonShulman,0.22621428599720803
slinkysown68849,AmnonShulman,0.22856782096553196
edihoo2,Nobleinopal,0.2340258154422387
wtf25986999,edihoo2,0.23614788451228338
Meir1973782,BendavidDudi,0.24181695521422805
Meir1973782,AmnonShulman,0.24598348247139823
slinkysown68849,edihoo2,0.2522890085711012
edihoo2,Meir1973782,0.25590103024220856
BendavidDudi,AmnonShulman,0.27328088915418036
edihoo2,BendavidDudi,0.2760813411388508
FrazzleUnicorn,Ah56015457,0.27689122596526744
NatiFrid,FrazzleUnicorn,0.28278124806491506
edihoo2,AmnonShulman,0.2850900018664464
wtf25986999,FrazzleUnicorn,0.28999573657698535
slinkysown68849,FrazzleUnicorn,0.2946536701907898
FrazzleUnicorn,AriBargar,0.29683921686614545
Meir1973782,FrazzleUnicorn,0.30238270866918854
Nobleinopal,FrazzleUnicorn,0.3038183282467993
FrazzleUnicorn,AmnonShulman,0.31395826552642897
yosi_shahbar,ShbrYwsy,0.320041847864305
