document,element,frequency_in_document
212pondi,actually,1
212pondi,again,1
212pondi,air,1
212pondi,al,1
212pondi,all,1
212pondi,american,1
212pondi,an,1
212pondi,and,1
212pondi,anti,1
212pondi,apparently,1
212pondi,arouri,1
212pondi,assassination,1
212pondi,bank,1
212pondi,barnea,1
212pondi,be,1
212pondi,before,1
212pondi,biden,1
212pondi,but,1
212pondi,by,1
212pondi,catholic,1
212pondi,century,1
212pondi,chief,1
212pondi,christmas,1
212pondi,church,1
212pondi,city,1
212pondi,claudine,2
212pondi,copy,1
212pondi,court,1
212pondi,david,1
212pondi,day,1
212pondi,defeated,1
212pondi,deputy,1
212pondi,director,1
212pondi,don,1
212pondi,dr,1
212pondi,enemy,1
212pondi,every,1
212pondi,family,1
212pondi,farroukh,1
212pondi,future,1
212pondi,gay,2
212pondi,gaza,1
212pondi,germany,1
212pondi,good,1
212pondi,greek,1
212pondi,gt,5
212pondi,guy,1
212pondi,habayta,1
212pondi,hamas,2
212pondi,harvard,3
212pondi,hatred,1
212pondi,helped,1
212pondi,hezbollah,1
212pondi,hinted,1
212pondi,ht,1
212pondi,http,1
212pondi,improve,1
212pondi,in,5
212pondi,into,1
212pondi,involvement,1
212pondi,iqrit,1
212pondi,is,2
212pondi,islam,1
212pondi,islamist,1
212pondi,isn,1
212pondi,israel,3
212pondi,israeli,2
212pondi,it,2
212pondi,its,1
212pondi,jew,1
212pondi,just,1
212pondi,klein,1
212pondi,leader,1
212pondi,lt,1
212pondi,lucid,1
212pondi,melkite,1
212pondi,mis,1
212pondi,moshe,1
212pondi,mossad,1
212pondi,name,1
212pondi,nazi,1
212pondi,new,1
212pondi,newprofilepic,1
212pondi,northern,1
212pondi,not,1
212pondi,of,4
212pondi,on,1
212pondi,once,1
212pondi,or,1
212pondi,overtime,1
212pondi,paste,1
212pondi,paybox,1
212pondi,president,2
212pondi,problem,1
212pondi,prod,1
212pondi,qatar,1
212pondi,qatari,1
212pondi,quote,1
212pondi,radical,1
212pondi,ran,1
212pondi,re,1
212pondi,reels,1
212pondi,regime,1
212pondi,riddance,1
212pondi,rightly,1
212pondi,rpg,4
212pondi,rt,172
212pondi,saleh,1
212pondi,say,1
212pondi,shaping,1
212pondi,struck,1
212pondi,suicide,1
212pondi,superiority,1
212pondi,supporting,1
212pondi,tahzor,1
212pondi,tank,1
212pondi,technology,1
212pondi,terror,1
212pondi,terrorist,1
212pondi,the,8
212pondi,tiktok,4
212pondi,to,5
212pondi,took,1
212pondi,training,1
212pondi,und,1
212pondi,undermine,1
212pondi,was,1
212pondi,we,2
212pondi,west,1
212pondi,with,1
212pondi,working,1
212pondi,worldwide,1
212pondi,you,1
212pondi,אבא,7
212pondi,אבו,4
212pondi,אבוד,3
212pondi,אבודים,1
212pondi,אבוטבול,1
212pondi,אבטחת,1
212pondi,אבי,3
212pondi,אביב,6
212pondi,אביו,1
212pondi,אביך,1
212pondi,אביעד,1
212pondi,אבל,48
212pondi,אבנים,2
212pondi,אבק,1
212pondi,אבקה,1
212pondi,אגב,9
212pondi,אגיד,1
212pondi,אגיע,1
212pondi,אגיש,1
212pondi,אגלה,1
212pondi,אגמון,1
212pondi,אגף,1
212pondi,אדומה,1
212pondi,אדומים,4
212pondi,אדון,4
212pondi,אדוני,2
212pondi,אדיוט,4
212pondi,אדיר,1
212pondi,אדם,5
212pondi,אדמה,1
212pondi,אדררררר,1
212pondi,אדרת,1
212pondi,אהבה,1
212pondi,אהבו,1
212pondi,אהבתם,1
212pondi,אהה,1
212pondi,אההה,1
212pondi,אהההה,1
212pondi,אההההה,1
212pondi,אהובי,1
212pondi,אהובים,3
212pondi,אהוד,29
212pondi,אהרון,6
212pondi,או,71
212pondi,אובייקטיבי,1
