document,element,frequency_in_document
212pondi,לא,560
212pondi,את,516
212pondi,על,307
212pondi,זה,283
212pondi,של,229
212pondi,הסמול,214
212pondi,כל,166
212pondi,מי,160
212pondi,rt,156
212pondi,חמאס,129
212pondi,עם,125
212pondi,רק,125
212pondi,אין,117
212pondi,צהל,114
212pondi,אתם,111
212pondi,לך,108
212pondi,אותם,93
212pondi,הקרן,87
212pondi,להם,79
212pondi,הטבח,75
212pondi,טבח,74
212pondi,לכם,74
212pondi,עוד,73
212pondi,לנו,71
212pondi,היה,66
212pondi,ישראל,66
212pondi,עזה,62
212pondi,אחד,61
212pondi,כי,61
212pondi,כמו,61
212pondi,למה,61
212pondi,יש,59
212pondi,אם,58
212pondi,הכל,58
212pondi,ולא,58
212pondi,שלך,57
212pondi,שלנו,56
212pondi,ערוצי,55
212pondi,ביבי,53
212pondi,עד,53
212pondi,צריך,53
212pondi,גם,52
212pondi,בעזה,50
212pondi,הזה,50
212pondi,וקסנר,50
212pondi,סמולנים,50
212pondi,שעות,50
212pondi,עושים,49
212pondi,בוגדים,48
212pondi,בכל,48
212pondi,הממשלה,48
212pondi,כמה,48
212pondi,צמרת,47
212pondi,שלא,47
212pondi,היום,45
212pondi,קרן,45
212pondi,איך,44
212pondi,בוגרי,44
212pondi,כאן,44
212pondi,כך,44
212pondi,לו,43
212pondi,אל,42
212pondi,סמולן,42
212pondi,הסרטנית,41
212pondi,זו,41
212pondi,כולם,41
212pondi,שהם,41
212pondi,שלכם,41
212pondi,ראש,39
212pondi,ברק,38
212pondi,פעילי,38
212pondi,חלאות,37
212pondi,שלהם,37
212pondi,לפני,36
212pondi,ככה,35
212pondi,לי,35
212pondi,יהיה,33
212pondi,יודעים,33
212pondi,החטופים,32
212pondi,קפלן,32
212pondi,שם,32
212pondi,למטרות,31
212pondi,מדוע,31
212pondi,נגד,31
212pondi,עלינו,31
212pondi,חלאה,30
212pondi,כלום,30
212pondi,פוליטיות,30
212pondi,שאתם,30
212pondi,אותו,29
212pondi,אותך,29
212pondi,בלי,29
212pondi,וזה,29
212pondi,מחבלים,29
212pondi,תודה,29
212pondi,אותנו,28
212pondi,בין,28
212pondi,האמת,28
212pondi,החדשה,28
212pondi,המדינה,28
212pondi,לחמאס,28
212pondi,מר,28
212pondi,מול,27
212pondi,אהוד,26
212pondi,בעברית,26
212pondi,ברור,26
212pondi,טוב,26
212pondi,תותח,26
212pondi,אותה,25
212pondi,אסון,25
212pondi,חיילים,25
212pondi,חיסול,25
212pondi,יהודים,25
212pondi,בישראל,24
212pondi,הבא,24
212pondi,היא,24
212pondi,להיות,24
212pondi,לחסל,24
212pondi,צה,24
212pondi,בוגד,23
212pondi,ואז,23
212pondi,יותר,23
212pondi,כסף,23
212pondi,לכל,23
212pondi,לעשות,23
212pondi,בגידה,22
212pondi,בעולם,22
212pondi,כאילו,22
212pondi,מאוד,22
212pondi,מאז,22
212pondi,מדינה,22
212pondi,נתניהו,22
212pondi,קטאר,22
212pondi,שנה,22
212pondi,במקום,21
212pondi,העם,21
212pondi,חובה,21
212pondi,כבר,21
212pondi,לה,21
212pondi,מיליארד,21
212pondi,אחרי,20
212pondi,בלבד,20
212pondi,הזו,20
212pondi,הערבים,20
212pondi,מאות,20
212pondi,נראה,20
212pondi,עוקב,20
212pondi,ערבי,20
212pondi,פחחחח,20
212pondi,צבא,20
212pondi,בדיוק,19
212pondi,בזמן,19
212pondi,גלנט,19
212pondi,הידעתם,19
