author_username,text
prydmn6,RT @ReleaseThemNow: לפני 20 שנה הייתי במילואים על הגדר בעזה. הוראות הפתיחה באש היו חד משמעיות: ירי על מנת להרוג כל מי שמתקרב 100 מטר לגדר.…
ShbrYwsy,"@RanfoXit חלק מהאוגדונרים קדושים 
ואז הולך ופוחת הדור ."
212pondi,@Charedit10 גיבורה ??? פחחחחח
ShbrYwsy,"https://t.co/JDNedzaZq5
תעשו פרצוף מופתע.
היועמ""שית סגרה את התיק נגד 
המחבל איימן עודה שקרא ללוחמי הבטחון הערבים להשליך את הנשק."
212pondi,@igal_malka_5G כל עוד הסמול שולט בצמרת צהל חיילים ימותו על מזבח המוסר הצבוע
ShbrYwsy,"איייי
תראו מה מצאתי? https://t.co/TqhSNQKYWV"
ShbrYwsy,"@Shir19Yaron @netanyahu נכון.
אממה... בדרך כלל מצליח לו."
ShbrYwsy,"האג.
שמעתי שאהרון ברק ישוגר 
לבית הדין בהאג עם חלקי חילוף. https://t.co/tvCxrHthKe"
212pondi,הבוגד חליוה מדווח שקרים לאומה https://t.co/sml8mWWD62
ShbrYwsy,"פחדנים עלובים.

החיזבללה יורה טילי נ.ט מתוך בתים לבנונים לעבר בתי תושבים ישראלים.

צהל לא משמיד את מקורות הירי.

ממשלה פחדנית.
קבינט מלחמה פחדן.
רמטכ''ל פחדן. https://t.co/OcrOa8d83k"
yosi_shahbar,"שלא יעבדו עליכם.
גנץ הרמטכ""ל בעצם הקמת ועדת חקירה מבצעית מבקשים להחריג את המטכ""ל מחקירה בוועדת חקירה ממלכתית,
הם מכוונים לכך שעל הגריל יהיה רק נתניהו.
*זה לא יקרה*.
אירועי ה7 לאוקטובר תחילתם וסופם מרד כנגד המערכת הפוליטית.אחרת היו מערבים נתניהו וגלנט בדילמות שהיו בבוקר ה7… https://t.co/tqXJVfKwcM"
ShbrYwsy,"@OrHeller אור יקירי.
קח, הכנתי לך.
זה האיש שראוי לבדוק את אירועי ה7 לאוקטובר? https://t.co/RgYLEiP8kj"
212pondi,מר ברק הבוגד אתה עושה הכל לחסל אותנו @barak_ehud כנל בוגי יעלון וכל הבוגדים הפושעים בוגרי קרן וקסנר סמולנים חלאות https://t.co/DMkHDBTiA1
ShbrYwsy,@KarvatShachaf מאחר ואתה חוצפן קבל השתק.
212pondi,הידעתם ??? אז תדעו בין -8 שעות ל-27 שעות צהל לא נוטרל ע״י צמרת צהל בוגרי קרן וקסנר https://t.co/plndSL4OlF
212pondi,נוטרל בלי לא
ShbrYwsy,"@yusuf77456 את הרצי הלוי מינה גנץ בממשלת לפיד שבוע לפני הבחירות.
בודקים לפני שמצייצים."
ShbrYwsy,"נתפס.
הנוכל נתפס. https://t.co/gkra3ZK3wQ"
212pondi,@aviavitan3 איזה מזל
yosi_shahbar,"הזעקה.
של אם שכולה.
והתשובה המנוולת של החלאה 
שמינה את שרשרת הפיקוד.

כל שרשרת הפיקוד בצהל  שהייתה מעורבת בהפקרת 
תושבי הדרום ב7 לאוקטובר
ולא נקפה אצבע כדי להתריע 
בפני תושבי הדרום כדי להציל חיים  חייבים לסיים את חייהם בכלא.כולם, בלי יוצא מהכלל. https://t.co/VsPEgnnnUR"
yosi_shahbar,"@RLevin482 אמאל'ה
מה עשיתי עכשיו?"
212pondi,@ShbrYwsy נראה מחבלי חמאס
ShbrYwsy,"עיתונאי דמיקולו...
העלה פוסט קשה של רצח אישה 
יהודיה על-ידי גבר...
בסופו של הפוסט הוא רומז 
שהרצח הוא באשמת בן גביר
שחילק נשק.
אממה ... 
מסתבר שהרוצח הוא ערבי שרצח  אישה  יהודיה בנשק לא חוקי.
זה עיתונאי, זה?
@JoshBreiner https://t.co/y5WdgnNEKP"
ShbrYwsy,RT @212pondi: כל מי שנותן עוקב מקבל 30 עוקבים חדשים במקביל ❤️❤️❤️❤️
ShbrYwsy,"ללא רחמים.
דיר אלבלאח. https://t.co/7nddplRUw5"
ShbrYwsy,"תראו אותה...
ככה נראית בולשביקית שמאלנית 
אנרכיסטית שרוממות הדמוקרטיה על לשונה.
בושה. https://t.co/41f8lcwQPI"
ShbrYwsy,"שימו לב...
ראש האופוזיציה מאשים את ישראל במלחמה הרב זרתית.
''קיצונים משחיים מנסים לגרור אותנו למלחמה כוללת"".
המנוול הזה מאשים את ישראל 
במלחמה בעזה, בצפון, מול החותים, באיו""ש. https://t.co/qsjzqfCp1Y"
yosi_shahbar,"הפוסט הזה באדיבות 
@thelitt80824365"
ShbrYwsy,"@BnyyhN99753 כן!
הוא נשוי חדש 
והוא ידוע כמי שאוהב מאוד את ילדיו."
ShbrYwsy,"@AtllasBen שמעתי אותו.
גאווה ישראלית."
ShbrYwsy,"@212pondi כל מי שיעקוב אחריה 
יקבל עוקב ממני."
ShbrYwsy,@RLevin482 אז תשתף.
ShbrYwsy,"@RLevin482 חכה.
רק התחלנו."
ShbrYwsy,"@mgbd75 @ysr42818 @Meital_Lehavi בונים לידיי בניין תמא 38...
יש שביל בין 2 בניינים שאני עובר דרכו בשביל הזה פועל הניח שטיח על הרצפה והתפלל למוחמד...
השתדלתי לא להפריע לו...
כאילו הוא מתפלל לאלוהים שלי.
קוראים לזה לכבד את הזולת."
212pondi,"*גורמים בישראל: האיראנים לא מצליחים לשלוט בחות'ים.*
עכשיו 14.

* מלחמה אישית בלי קשר לאיראן או עזה https://t.co/x23x67qP9J"
ShbrYwsy,"@212pondi רטרואקטיבי
4 שנים אחורה."
ShbrYwsy,"@blanche84791 אני מקבל את הטיעונים שלך.
אבל הוא ירצה להשאיר זכר ממנו.
יש מקום ל2 הטיעונים האלה.
אין לו סיבה לחסל את ילדיו.
הוא יודע שהוא במצב קטטוני."
212pondi,@aviadglickman כל שטות שאתה רושם אתה מוסיף פרסום ראשון גם אם זה פרסום המיליון בשבילך זה ראשון איזה אומלל
212pondi,@RadmanMoshe שב בשקט גרוזיני קטן מה לך ולחוק 😝😝😝😝
yosi_shahbar,"@Motty53 כל עוד אנחנו קשורים בטבורנו 
לארצות הברית של אמריקה 
אנחנו נהיה קשורים לקונספציה 
של ה6 לאוקטובר.
הקונספציה הידועה לשמצא שכולם מדברים אדותיה היא 
יצירה אמריקאית שהוטמעה 
דרך הקרנות דוגמת קרן וקסנר."
ShbrYwsy,@Stoic_Punk @thelitt80824365 בוצע.
212pondi,פיצצתי תבית של אחות של מוחמד דף והקדשתי את הפיצוץ לזכר הלל סעדון חבר יקר שנפל ב7/10. https://t.co/aHOvhY5ff0
ShbrYwsy,"RT @65347_osnat: רק בחודשים האחרונים
בתיכונים בתל אביב:
מנהל תיכון שכב עם תלמידים
מנהלת תיכון תמכה בעזה
ומנהל תיכון הרים יד על תלמיד שהניח…"
212pondi,@fireandwater888 @barak_ehud @ShikmaBressler @ahimlaneshek1 ממתי הסמול מזהיר ממחדל 😝😝😝😝
212pondi,יהודה ושומרון יהיה משחק ילדים ל- 7/10/23 חובת צפיה רגע לפני הטבח הבא נא להפיץ בעוצמה https://t.co/jxzVGRY2zj
ShbrYwsy,"מכתב פתוח 
למשפחות החטופים ולכל בעלי הענין.
לא בטוח שסינוואר ירצה לצאת מהמנהרות גם במחיר חייו.
אולם יחד עם סינוואר נמצאים בני משפחתו וזה כבר סיפור אחר.
סינוואר מאוד קשור לבניו.
סינוואר בקלות יכול לבנות עיסקה 
לשחרור בני משפחתו תמורת חלק מהחטופים.
בזה צריך להתרכז.
זאת יכולה להיות… https://t.co/vbmfGGbN3l"
demokratya11,@LksRwzn לפני הכל להעיף מכאן את הקרן החדשה
demokratya11,בגץ ראש הנחש ולכן חייבים רפורמה במוקדם או במאוחר או ביטול הגוף הפוליטי המסואב הזה אפשר להסתדר מצויין בלי ההצגה שלהם הדמוקרטיה תקבל פנים חדשות https://t.co/EpIVLGSoeR
ShbrYwsy,"חשיפה.
*אמברגו עד יום רביעי ה- 10/1 בשעה 16:00*
*הודעה משותפת לדוברות משרד הביטחון ולדוברות רפאל*:

*חברת רפאל, בשיתוף עם מפא""ת במשרד הביטחון, השלימו בהצלחה ניסוי מוצלח במערכת ההגנה האווירית המתקדמת ספיידר- SPYDER בתצורה חדשה וייחודית- All in One. הניסוי כלל יירוט כטב""ם במתאר… https://t.co/pITQbFcDuh"
yosi_shahbar,@thelitt80824365 @212pondi
ShbrYwsy,"תפעילו רמקולים...
תעוד מדהים 
מחבל יוצא מפיר ומנסה לפגוע בלוחמים. https://t.co/ZMPqEvj2D7"
ShbrYwsy,"@elip2609 מי אמר שלא?
לא שאני יודע...כן!"
212pondi,חידון תנ״כי לזוכים כרטיס טיסה לצד אחד בלבד 🤣 https://t.co/xCI9h67iGT
demokratya11,@poison_14 מתי תפתחו נגד מכונת הרעל של 11 12 13 ????
ShbrYwsy,"קרנות גרמניות 
מממנות עמותות שמארגנות 
הפגנות להפסקת המלחמה. https://t.co/RzhvLPNFGf"
ShbrYwsy,"תראו אותו...
המנוול הזה המכהן כמ""מ נשיא 
בית המשפט העליון
אוסר על שר המשטרה בן גביר להנחות את המשטרה בקשר להפגנות שתכליתן תמיכה בטרור ובעד הפסקת המלחמה בעזה.
והשאלה למה?
אולי בגלל שהחלאה תומך בתומכי הטרור? https://t.co/ftSVdEKte4"
212pondi,@thelitt80824365 מה חשבתם שאתם תתפרעו ולא יגיבו לכם ??? 😝😝😝😝😝 סמולנים פחחחח
212pondi,"חייל בודד מגדוד 941 פלוגה ד ( גדוד המילואים של נצח יהודה)
מתחתן בישוב מבוא דותן סמוך לבסיס
החתונה אורגנה בידי הפלוגה ונתרמה עי נדיבים רחבי לב
❤️❤️❤️❤️❤️❤️❤️❤️❤️ואומר לך בדמייך חיי https://t.co/7srGRulook"
ShbrYwsy,"האידיוט.
יש עוד קליינטים לאדיוט הבטחוני הזה?...
מישהו קונה את הסחורה שלו?
הוא ממשיך ללהג דברים חסרי שחר. https://t.co/5ENUAloTd3"
ShbrYwsy,"הקצב התורכי
שביצע רצח עם בכורדים.
טוען שהוא חשף רשת ריגול ישראלית... https://t.co/bbW0I5vzIz"
212pondi,רק אמא של חייל בקרב יכולה להבין עד כמההההה https://t.co/0EWCzGe0mz
212pondi,עזה: מראות משובבי לב מרחבי הרצועה הרס חורבן ונקמה בכל מקום  ! https://t.co/BSHmnz1T3t
yosi_shahbar,"@Stoic_Punk @thelitt80824365 לא ידעתי שזה האיש.
אני אוסיף את שמו בתגובות עכשיו."
ShbrYwsy,"https://t.co/IgIpDLxKWI
הפדופיל על הגריל."
212pondi,האם ישראל מתחננת לשיח עם חמאס ? זו תבוסתנות והפסד מראש !!! לא ככה עושים עסקים עם אירגוני טרור !!! לפרק להם את הצורה שהם יתחננו לשקט אבל נראה שאנחנו לא שם https://t.co/rOFBwt3A0e
yosi_shahbar,"@212pondi 
באדיבות https://t.co/U0Lg01t8Sm"
