document,element,frequency_in_document
212pondi,actually,1
212pondi,air,1
212pondi,al,1
212pondi,american,1
212pondi,apparently,1
212pondi,arouri,1
212pondi,assassination,1
212pondi,bank,1
212pondi,barnea,1
212pondi,biden,1
212pondi,century,1
212pondi,chief,1
212pondi,city,1
212pondi,claudine,2
212pondi,copy,1
212pondi,david,1
212pondi,defeated,1
212pondi,deputy,1
212pondi,director,1
212pondi,don,1
212pondi,dr,1
212pondi,enemy,1
212pondi,every,1
212pondi,future,1
212pondi,gay,2
212pondi,gaza,1
212pondi,germany,1
212pondi,good,1
212pondi,gt,5
212pondi,guy,1
212pondi,habayta,1
212pondi,hamas,2
212pondi,harvard,3
212pondi,hatred,1
212pondi,helped,1
212pondi,hinted,1
212pondi,ht,1
212pondi,improve,1
212pondi,involvement,1
212pondi,islamist,1
212pondi,israel,2
212pondi,israeli,2
212pondi,its,1
212pondi,jew,1
212pondi,klein,1
212pondi,leader,1
212pondi,lt,1
212pondi,lucid,1
212pondi,moshe,1
212pondi,mossad,1
212pondi,name,1
212pondi,nazi,1
212pondi,new,1
212pondi,newprofilepic,1
212pondi,not,1
212pondi,once,1
212pondi,overtime,1
212pondi,paste,1
212pondi,paybox,1
212pondi,president,2
212pondi,problem,1
212pondi,prod,1
212pondi,qatar,1
212pondi,qatari,1
212pondi,quote,1
212pondi,radical,1
212pondi,re,1
212pondi,reels,1
212pondi,regime,1
212pondi,riddance,1
212pondi,rightly,1
212pondi,rpg,4
212pondi,rt,156
212pondi,saleh,1
212pondi,say,1
212pondi,shaping,1
212pondi,suicide,1
212pondi,superiority,1
212pondi,supporting,1
212pondi,tahzor,1
212pondi,technology,1
212pondi,terror,1
212pondi,the,1
212pondi,tiktok,4
212pondi,to,1
212pondi,took,1
212pondi,training,1
212pondi,und,1
212pondi,undermine,1
212pondi,west,1
212pondi,working,1
212pondi,worldwide,1
212pondi,אבא,6
212pondi,אבו,3
212pondi,אבוד,3
212pondi,אבודים,1
212pondi,אבוטבול,1
212pondi,אבטחת,1
212pondi,אבי,3
212pondi,אביב,5
212pondi,אביו,1
212pondi,אביך,1
212pondi,אביעד,1
212pondi,אבנים,2
212pondi,אבק,1
212pondi,אבקה,1
212pondi,אגב,9
212pondi,אגיד,1
212pondi,אגיע,1
212pondi,אגלה,1
212pondi,אגמון,1
212pondi,אגף,1
212pondi,אדומה,1
212pondi,אדומים,4
212pondi,אדון,3
212pondi,אדוני,2
212pondi,אדיוט,3
212pondi,אדיר,1
212pondi,אדם,4
212pondi,אדמה,1
212pondi,אדררררר,1
212pondi,אדרת,1
212pondi,אהבה,1
212pondi,אהבו,1
212pondi,אהבתם,1
212pondi,אהה,1
212pondi,אההה,1
212pondi,אהההה,1
212pondi,אההההה,1
212pondi,אהובי,1
212pondi,אהובים,3
212pondi,אהוד,26
212pondi,אהרון,6
212pondi,אובייקטיבי,1
212pondi,אובמה,1
212pondi,אובנה,1
212pondi,אוגדה,1
212pondi,אודי,1
212pondi,אוהב,6
212pondi,אוהבים,2
212pondi,אוהבת,1
212pondi,אווירית,1
212pondi,אוזן,1
212pondi,אוחובסקי,1
212pondi,אוחנה,1
212pondi,אוי,4
212pondi,אויב,12
212pondi,אויבי,4
212pondi,אויבים,3
212pondi,אויבך,1
212pondi,אויר,2
212pondi,אוירי,1
212pondi,אוכל,4
212pondi,אוכלוסיה,1
212pondi,אוכלי,2
212pondi,אוליי,4
212pondi,אולמרט,6
212pondi,אולפן,2
212pondi,אומלל,1
212pondi,אומנות,2
212pondi,אומנם,1
212pondi,אומץ,1
212pondi,אומר,15
212pondi,אומרים,6
212pondi,אומרת,5
212pondi,אונה,1
212pondi,אוניברסיטה,1
212pondi,אוניברסיטת,1
212pondi,אונר,1
212pondi,אונרה,1
212pondi,אוסטין,1
212pondi,אוסלו,14
212pondi,אופוזיציה,3
212pondi,אופי,2
212pondi,אופציה,11
212pondi,אופק,2
212pondi,אופקים,1
212pondi,אופרטיביות,1
212pondi,אופרטיבית,1
212pondi,אוקטובר,1
212pondi,אור,4
212pondi,אורגנה,1
212pondi,אורי,3
212pondi,אוריאל,1
212pondi,אושיות,1
212pondi,אותה,25
212pondi,אותותיו,1
212pondi,אותי,4
212pondi,אותך,29
212pondi,אותנו,28
212pondi,אזהרה,1
212pondi,אזורית,1
212pondi,אזעקה,1
212pondi,אזרח,5
212pondi,אזרחי,6
212pondi,אזרחיה,2
212pondi,אזרחים,5
212pondi,אח,2
212pondi,אחד,61
212pondi,אחדות,2
212pondi,אחוז,14
212pondi,אחות,1
212pondi,אחחחח,1
212pondi,אחי,2
212pondi,אחיו,1
212pondi,אחיך,1
212pondi,אחים,9
212pondi,אחלה,4
212pondi,אחליט,1
212pondi,אחמד,1
212pondi,אחר,10
212pondi,אחראי,3
212pondi,אחרויותו,1
212pondi,אחרון,3
212pondi,אחרונות,1
212pondi,אחרות,1
212pondi,אחרי,20
212pondi,אחריה,5
212pondi,אחריו,1
212pondi,אחריות,4
212pondi,אחרים,7
212pondi,אחרית,1
212pondi,אחרת,16
212pondi,אחת,10
212pondi,אטומי,1
212pondi,אטיב,1
212pondi,איבגי,1
212pondi,איבדנו,1
212pondi,איברהים,1
212pondi,אידיוט,2
212pondi,איום,1
212pondi,איוש,1
212pondi,איזה,18
212pondi,איזו,1
212pondi,איחוד,1
212pondi,אייבי,1
212pondi,איילה,3
212pondi,איילון,1
212pondi,איים,1
212pondi,אייס,1
212pondi,איכותי,2
212pondi,איכסססס,2
212pondi,איכפת,1
212pondi,איכשהו,2
212pondi,אילון,1
212pondi,אילוף,1
212pondi,אילנה,1
212pondi,אימה,2
212pondi,אימון,1
212pondi,אימוני,1
212pondi,אימונים,1
212pondi,אינטנסיביים,1
212pondi,איסלאמיים,1
212pondi,איפה,15
212pondi,איפול,1
212pondi,איר,1
212pondi,איראן,5
212pondi,איראני,7
212pondi,איראנים,1
212pondi,אירגון,4
212pondi,אירגוני,4
212pondi,אירוע,6
212pondi,אירופי,1
212pondi,איש,6
212pondi,אישה,2
212pondi,אישור,1
212pondi,אישורים,1
212pondi,אישי,1
212pondi,אישית,1
212pondi,איתה,1
212pondi,איתו,1
212pondi,איתך,3
212pondi,איתמר,1
212pondi,איתן,1
212pondi,אכול,1
212pondi,אכולת,1
212pondi,אכות,1
212pondi,אכזר,1
212pondi,אכזריים,1
212pondi,אכלתם,1
212pondi,אכן,6
212pondi,אל,13
212pondi,אלא,6
212pondi,אלג,1
212pondi,אלה,8
212pondi,אלו,1
212pondi,אלוהי,1
212pondi,אלוהים,1
212pondi,אלוף,7
212pondi,אלוףףףף,1
212pondi,אלופה,12
212pondi,אלופהההה,1
212pondi,אלופות,1
212pondi,אלופים,2
212pondi,אלחנן,1
212pondi,אלי,1
212pondi,אליה,3
212pondi,אליהו,1
212pondi,אליהם,2
212pondi,אליו,3
212pondi,אליך,4
212pondi,אליל,1
212pondi,אלים,1
212pondi,אלימות,2
212pondi,אלימים,3
212pondi,אלינו,3
212pondi,אלירן,1
212pondi,אלך,1
212pondi,אלכוהול,1
212pondi,אלמוג,7
212pondi,אלמוגגגגג,2
212pondi,אלמנה,1
212pondi,אלף,5
212pondi,אלפי,13
212pondi,אלפים,2
212pondi,אלפיםםםםםםםםם,1
212pondi,אלקיהם,2
212pondi,אלקנה,1
212pondi,אלקקקקק,1
212pondi,אמא,5
212pondi,אמאאאאאאאא,1
212pondi,אמאאאאאאאאא,1
212pondi,אמהות,1
212pondi,אמונים,1
212pondi,אמור,5
212pondi,אמורים,1
212pondi,אמינים,2
212pondi,אמיצה,1
212pondi,אמיצים,1
212pondi,אמיר,2
212pondi,אמירה,1
212pondi,אמיתי,8
212pondi,אמיתית,2
212pondi,אמל,1
212pondi,אמן,2
212pondi,אמנאי,1
212pondi,אמנות,2
212pondi,אמצע,1
212pondi,אמר,12
212pondi,אמרה,2
212pondi,אמרו,3
212pondi,אמריקאי,1
212pondi,אמריקה,2
212pondi,אמרתי,4
212pondi,אמש,2
212pondi,אמשיך,1
212pondi,אמת,6
212pondi,אן,2
212pondi,אנא,1
212pondi,אנגליה,1
212pondi,אנו,4
212pondi,אנושות,1
212pondi,אנושי,1
212pondi,אנטי,1
212pondi,אנטישמי,1
212pondi,אנשי,9
212pondi,אנשים,10
212pondi,אסון,25
212pondi,אסונות,4
212pondi,אסור,17
212pondi,אסיר,2
212pondi,אסירים,1
212pondi,אסלה,1
212pondi,אסססס,1
212pondi,אסתי,1
212pondi,אעיה,1
212pondi,אף,5
212pondi,אפילו,13
212pondi,אפיף,1
212pondi,אפך,1
